categorie,nom,telephone,adresse,site,maps,note,nb_avis,distance_km,place_id,statut_appel
bar_resto,Rooftop La Base Restaurant-Bar,02 97 76 95 67,"5 Rue Amiral Dordelin, 56100 Lorient",,https://maps.google.com/?cid=5920301181211585557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,459,0.53,ChIJZ_ChlTdfEEgRFSxxpY4iKVI,a_appeler
bar_resto,K5 Bar Brasserie,02 30 91 70 00,"K5, Quai A Quartier Lorient La Base, 1 Rue d'Estienne d'Orves Celtic submarine 1, 56100 Lorient",http://www.k5brasserie.com/,https://maps.google.com/?cid=2169985914284919393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,687,0.57,ChIJ658P7clfEEgRYcqNJLFWHR4,a_appeler
bar_resto,L'Épicurien,02 97 32 34 32,"52 Av. de la Perrière, 56100 Lorient",https://lepicurien-lorient.eatbu.com/?lang=fr#,https://maps.google.com/?cid=18370643184015841029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,242,0.59,ChIJWczy6jNfEEgRBRe33qSi8f4,a_appeler
bar_resto,Les Frangins,02 97 82 00 92,"39 Av. de la Perrière, 56100 Lorient",,https://maps.google.com/?cid=12551242584426376690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,170,0.6,ChIJOw9rf-5fEEgR8m19lqH4Lq4,a_appeler
bar_resto,Restaurant Le Poulpe Lorient,02 97 78 91 40,"29 Av. de la Perrière, 56100 Lorient",,https://maps.google.com/?cid=6340048741034769640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,430,0.62,ChIJ_2Va9TVeEEgR6DwKLL1g_Fc,a_appeler
bar_resto,Le Quai Roman,02 97 59 40 71,"34 Av. de la Perrière, 56100 Lorient",,https://maps.google.com/?cid=235317155159469493&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,258,0.65,ChIJOxBb5IVfEEgRte3VsrQDRAM,a_appeler
bar_resto,LA MARMITE D'OLIVIER,02 97 88 16 57,"23 Av. de la Perrière, 56100 Lorient",,https://maps.google.com/?cid=1768071059831311879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,88,0.67,ChIJr20HRYtfEEgRB87k4kJziRg,a_appeler
bar_resto,Le Neptune,06 15 18 59 66,"15 Av. de la Perrière, 56100 Lorient",http://www.le-neptune-lorient.fr/,https://maps.google.com/?cid=16523049686256590210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,453,0.69,ChIJbSXWbkpeEEgRgh10kyWqTeU,a_appeler
bar_resto,Le Jardin d'Olivier,02 97 83 48 09,"16 Av. de la Perrière, 56100 Lorient",,https://maps.google.com/?cid=8686409916913806767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,209,0.71,ChIJL8BxekpeEEgRr-0T_8tTjHg,a_appeler
bar_resto,Embarcadère Lorient La Base Escal'Ouest,,"La Base des sous-marins Keroman, 56100 Lorient",https://www.escal-ouest.com/,https://maps.google.com/?cid=1405727275932523912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,27,0.26,ChIJa70jj_tfEEgRiB0JdYIlghM,a_appeler
